,datetime,code,name,block,block2,block3,pct
0,2018-07-02 09:31:00,000596,古井贡酒,制造业,昨高换手,近期异动,0.04
1,2018-07-02 09:31:00,002119,康强电子,制造业,昨高换手,近期异动,0.03
2,2018-07-02 09:31:00,002356,赫美集团,制造业,昨高换手,近期异动,0.03
3,2018-07-02 09:31:00,002830,名雕股份,制造业,昨高换手,近期异动,0.04
4,2018-07-02 09:31:00,300742,越博动力,制造业,昨高换手,近期异动,0.05
5,2018-07-02 09:31:00,300743,天地数码,制造业,昨高换手,近期异动,0.04
6,2018-07-02 09:31:00,600806,退市昆机,制造业,昨高换手,近期异动,0.03
7,2018-07-02 09:32:00,000736,中交地产,中证央企,制造业,高股息股,0.03
8,2018-07-02 09:32:00,600389,江山股份,中证央企,制造业,高股息股,0.05
9,2018-07-02 09:33:00,002432,九安医疗,制造业,亏损股,江苏,0.04
10,2018-07-02 09:33:00,300261,雅本化学,制造业,亏损股,江苏,0.05
11,2018-07-02 09:33:00,300356,光一科技,制造业,亏损股,江苏,0.04
12,2018-07-02 09:34:00,002584,西陇科学,上周强势,制造业,风险提示,0.04
13,2018-07-02 09:34:00,300056,三维丝,上周强势,制造业,风险提示,0.06
14,2018-07-02 09:35:00,002357,富临运业,高质押股,股权转让,承诺注资,0.03
15,2018-07-02 09:37:00,002356,赫美集团,高送转,微利股,互联网+,0.03
16,2018-07-02 09:38:00,000595,宝塔实业,制造业,风电,铁路基建,0.04
17,2018-07-02 09:38:00,603606,东方电缆,制造业,风电,铁路基建,0.05
18,2018-07-02 09:39:00,002148,北纬科技,物联网,陆股通卖,小米概念,0.03
19,2018-07-02 09:39:00,300448,浩云科技,物联网,陆股通卖,小米概念,0.03
20,2018-07-02 09:40:00,600448,华纺股份,黄河三角,高市盈率,迪士尼,0.04
21,2018-07-02 09:42:00,600227,圣济堂,创投,股权转让,重组股,0.04
22,2018-07-02 09:42:00,600250,南纺股份,创投,股权转让,重组股,0.05
23,2018-07-02 09:43:00,600227,圣济堂,重组股,近期新低,贵州,0.03
24,2018-07-02 09:44:00,002125,湘潭电化,长株潭,锂电池,送转超跌,0.03
25,2018-07-02 09:45:00,600367,红星发展,锂电池,贵州,股权激励,0.03
26,2018-07-02 09:46:00,002906,华阳集团,高市盈率,次新股,业绩预降,0.05
27,2018-07-02 09:50:00,300746,汉嘉设计,高市净率,近期异动,浙江,0.05
28,2018-07-02 09:54:00,002782,可立克,高市净率,近期异动,电子制造,0.03
29,2018-07-02 10:00:00,600555,海航创新,赛马概念,综合类,社会服务业,0.04
30,2018-07-02 10:07:00,002181,粤 传 媒,风险提示,融资融券标的,融资融券,0.03
31,2018-07-02 10:08:00,002300,太阳电缆,超导概念,福建,电气设备,0.04
32,2018-07-02 10:12:00,603045,福达合金,高市盈率,高市净率,电气设备,0.04
33,2018-07-02 10:20:00,002278,神开股份,页岩气,被举牌,昨日振荡,0.03
34,2018-07-02 10:21:00,600734,实达集团,高质押股,文化传媒,久不分红,0.03
35,2018-07-02 10:23:00,002388,新亚制程,高质押股,蓝宝石,电子信息,0.04
36,2018-07-02 10:25:00,600734,实达集团,高质押股,文化传媒,久不分红,0.03
37,2018-07-02 10:43:00,002193,如意集团,纺织制造,山东,员工持股,0.04
38,2018-07-02 10:48:00,002451,摩恩电气,风能,风电,重组预案,0.06
39,2018-07-02 11:21:00,002547,春兴精工,高市盈率,电子制造,5G概念,0.04
40,2018-07-02 13:03:00,600405,动力源,锂电池,节能,能源互联,0.03
41,2018-07-02 13:05:00,300582,英飞特,送转超跌,节能照明,股权激励,0.04
42,2018-07-02 13:06:00,300582,英飞特,送转超跌,节能照明,股权激励,0.05
43,2018-07-02 13:07:00,300062,中能电气,雄安新区,铁路基建,重组预案,0.05
44,2018-07-02 13:08:00,600268,国电南自,高端装备,铁路基建,节能,0.04
45,2018-07-02 13:19:00,000820,神雾节能,高质押股,辽宁,节能环保,0.03
46,2018-07-02 13:20:00,300156,神雾环保,雄安新区,户数增加,中创100,0.03
47,2018-07-02 13:32:00,002606,大连电瓷,送转超跌,近期异动,辽宁,0.03
48,2018-07-02 13:34:00,002357,富临运业,高质押股,小盘股,交通运输、仓储业,0.07
49,2018-07-02 13:34:00,002676,顺威股份,高质押股,小盘股,交通运输、仓储业,0.03
50,2018-07-02 13:48:00,002909,集泰股份,深次新股,活跃股,次新股,0.03
51,2018-07-02 13:50:00,002725,跃岭股份,芯片概念,浙江,活跃股,0.05
52,2018-07-02 13:52:00,603398,邦宝益智,重组预案,近期异动,活跃股,0.03
53,2018-07-02 14:12:00,300647,超频三,高市净率,锂电池,重组预案,0.05
54,2018-07-02 14:13:00,000971,高升控股,重组股,通信设备,湖北,0.04
55,2018-07-02 14:30:00,603477,振静股份,纺织制造,活跃股,次新股,0.06
56,2018-07-02 14:32:00,600689,上海三毛,纺织制造,浦东,微利股,0.03
57,2018-07-02 14:37:00,600156,华升股份,长株潭,连续亏损,纺织制造,0.06
58,2018-07-02 14:44:00,002289,宇顺电子,高管增持,锂电池,连续亏损,0.12
59,2018-07-02 14:48:00,002289,宇顺电子,高管增持,锂电池,连续亏损,0.04
60,2018-07-02 14:50:00,603918,金桥信息,高市盈率,计算机应用,被举牌,0.04
61,2018-07-02 14:53:00,002348,高乐股份,迪士尼,婴童概念,二胎概念,0.05
62,2018-07-02 14:55:00,600538,国发股份,高市盈率,生物质能,扣非亏损,0.05
63,2018-07-02 14:57:00,600892,大晟文化,高质押股,重组股,送转超跌,0.03
64,2018-07-02 14:59:00,600538,国发股份,高市盈率,生物质能,扣非亏损,0.04
65,2018-07-03 09:31:00,000510,金路集团,制造业,已高送转,上周弱势,0.05
66,2018-07-03 09:31:00,000736,中交地产,制造业,已高送转,上周弱势,0.03
67,2018-07-03 09:31:00,002769,普路通,制造业,已高送转,上周弱势,0.03
68,2018-07-03 09:31:00,002843,泰嘉股份,制造业,已高送转,上周弱势,0.04
69,2018-07-03 09:31:00,002884,凌霄泵业,制造业,已高送转,上周弱势,0.04
70,2018-07-03 09:31:00,300001,特锐德,制造业,已高送转,上周弱势,0.03
71,2018-07-03 09:31:00,300261,雅本化学,制造业,已高送转,上周弱势,0.04
72,2018-07-03 09:31:00,600439,瑞贝卡,制造业,已高送转,上周弱势,0.08
73,2018-07-03 09:31:00,600682,南京新百,制造业,已高送转,上周弱势,0.06
74,2018-07-03 09:31:00,603301,振德医疗,制造业,已高送转,上周弱势,0.04
75,2018-07-03 09:31:00,603693,江苏新能,制造业,已高送转,上周弱势,0.2
76,2018-07-03 09:31:00,603959,百利科技,制造业,已高送转,上周弱势,0.03
77,2018-07-03 09:31:00,603996,中新科技,制造业,已高送转,上周弱势,0.06
78,2018-07-03 09:32:00,002356,赫美集团,预高送转,浙江,深圳,0.04
79,2018-07-03 09:32:00,002488,金固股份,预高送转,浙江,深圳,0.03
80,2018-07-03 09:32:00,300484,蓝海华腾,预高送转,浙江,深圳,0.04
81,2018-07-03 09:32:00,300746,汉嘉设计,预高送转,浙江,深圳,0.04
82,2018-07-03 09:33:00,300290,荣科科技,高质押股,重组预案,近期异动,0.09
83,2018-07-03 09:34:00,300640,德艺文创,福建,户数增加,已高送转,0.07
84,2018-07-03 09:36:00,000678,襄阳轴承,制造业,高管增持,员工持股,0.05
85,2018-07-03 09:36:00,002289,宇顺电子,制造业,高管增持,员工持股,0.05
86,2018-07-03 09:36:00,300466,赛摩电气,制造业,高管增持,员工持股,0.04
87,2018-07-03 09:36:00,603398,邦宝益智,制造业,高管增持,员工持股,0.04
88,2018-07-03 09:37:00,000633,合金投资,小盘股,股权转让,高市净率,0.06
89,2018-07-03 09:37:00,300225,金力泰,小盘股,股权转让,高市净率,0.03
90,2018-07-03 09:37:00,300650,太龙照明,小盘股,股权转让,高市净率,0.03
91,2018-07-03 09:37:00,603890,春秋电子,小盘股,股权转让,高市净率,0.06
92,2018-07-03 09:40:00,300743,天地数码,高市净率,近期异动,计算机设备,0.03
93,2018-07-03 09:41:00,600439,瑞贝卡,陆股通买,跨境电商,河南,0.04
94,2018-07-03 09:42:00,600439,瑞贝卡,陆股通买,跨境电商,河南,0.04
95,2018-07-03 09:43:00,000979,中弘股份,赛马概念,手机游戏,亏损股,0.03
96,2018-07-03 09:43:00,300721,怡达股份,赛马概念,手机游戏,亏损股,0.04
97,2018-07-03 09:47:00,300703,创源文化,高市盈率,深次新股,浙江,0.04
98,2018-07-03 09:51:00,300540,深冷股份,近期异动,股权激励,昨高换手,0.07
99,2018-07-03 09:57:00,300570,太辰光,通信设备,深圳,个人持股,0.04
100,2018-07-03 10:03:00,000626,远大控股,金融改革,重组股,送转超跌,0.05
101,2018-07-03 10:04:00,300172,中电环保,迪士尼,股权激励,活跃股,0.04
102,2018-07-03 10:04:00,600448,华纺股份,迪士尼,股权激励,活跃股,0.03
103,2018-07-03 10:04:00,603499,翔港科技,迪士尼,股权激励,活跃股,0.03
104,2018-07-03 10:13:00,603800,道森股份,页岩气,近期异动,活跃股,0.03
105,2018-07-03 10:19:00,002759,天际股份,高质押股,锂电池,重组预案,0.04
106,2018-07-03 10:39:00,300589,江龙船艇,高市净率,活跃股,昨高换手,0.03
107,2018-07-03 10:51:00,300623,捷捷微电,芯片概念,芯片,股权激励,0.04
108,2018-07-03 11:02:00,300647,超频三,高市净率,锂电池,重组预案,0.03
109,2018-07-03 11:03:00,002899,英派斯,高股息股,高管减持,业绩预降,0.04
110,2018-07-03 11:03:00,300382,斯莱克,高股息股,高管减持,业绩预降,0.03
111,2018-07-03 11:04:00,002899,英派斯,深次新股,活跃股,次新超跌,0.04
112,2018-07-03 11:17:00,002199,东晶电子,被举牌,蓝宝石,节能照明,0.03
113,2018-07-03 11:19:00,600847,万里股份,锂电池,重庆,股权转让,0.03
114,2018-07-03 11:23:00,603976,正川股份,高贝塔值,重庆,次新超跌,0.04
115,2018-07-03 11:29:00,300484,蓝海华腾,送转超跌,锂电池,股权转让,0.03
116,2018-07-03 11:29:00,300515,三德科技,送转超跌,锂电池,股权转让,0.06
117,2018-07-03 13:01:00,300393,中来股份,股份回购,电气设备,江苏,0.08
118,2018-07-03 13:03:00,300393,中来股份,股份回购,电气设备,江苏,0.04
119,2018-07-03 13:04:00,300393,中来股份,股份回购,电气设备,江苏,0.04
120,2018-07-03 13:08:00,002532,新界泵业,通用设备,送转超跌,节能环保,0.03
121,2018-07-03 13:20:00,002724,海洋王,送转超跌,节能照明,石墨烯,0.03
122,2018-07-03 13:23:00,002326,永太科技,高市盈率,锂电池,OLED概念,0.05
123,2018-07-03 13:23:00,300392,腾信股份,高市盈率,锂电池,OLED概念,0.05
124,2018-07-03 13:29:00,002871,伟隆股份,通用设备,送转超跌,活跃股,0.03
125,2018-07-03 13:31:00,600520,文一科技,集成电路,被举牌,芯片,0.04
126,2018-07-03 13:48:00,300578,会畅通讯,高质押股,高市净率,长三角,0.04
127,2018-07-03 14:01:00,300519,新光药业,高贝塔值,浙江,中药,0.03
128,2018-07-03 14:03:00,600476,湘邮科技,高市净率,湖南,中证央企,0.03
129,2018-07-03 14:09:00,603189,网达软件,计算机应用,移动互联网,浦东,0.04
130,2018-07-03 14:11:00,002052,同洲电子,视听器材,股权转让,电子信息,0.07
131,2018-07-03 14:12:00,300656,民德电子,重组预案,芯片概念,电子支付,0.03
132,2018-07-03 14:15:00,300687,赛意信息,计算机应用,股权激励,深次新股,0.03
133,2018-07-03 14:17:00,002134,天津普林,摘帽概念,摘帽,小盘股,0.03
134,2018-07-03 14:27:00,000819,岳阳兴长,制造业,高质押股,预计扭亏,0.03
135,2018-07-03 14:27:00,603988,中电电机,制造业,高质押股,预计扭亏,0.05
136,2018-07-03 14:36:00,300647,超频三,高市净率,昨高换手,近期异动,0.03
137,2018-07-03 14:36:00,300745,欣锐科技,高市净率,昨高换手,近期异动,0.04
138,2018-07-03 14:37:00,300615,欣天科技,高市盈率,通信设备,近期异动,0.03
139,2018-07-03 14:42:00,300638,广和通,高市净率,阿里概念,阿里巴巴概念,0.03
140,2018-07-03 14:51:00,002438,江苏神通,通用设备,节能环保,股权转让,0.03
141,2018-07-03 14:56:00,002699,美盛文化,高质押股,小盘成长,上周弱势,0.05
142,2018-07-04 09:31:00,000587,金洲慈航,上周弱势,深股通,融资融券标的,0.06
143,2018-07-04 09:31:00,000829,天音控股,上周弱势,深股通,融资融券标的,0.03
144,2018-07-04 09:31:00,002609,捷顺科技,上周弱势,深股通,融资融券标的,0.06
145,2018-07-04 09:31:00,002855,捷荣技术,上周弱势,深股通,融资融券标的,0.05
146,2018-07-04 09:31:00,600133,东湖高新,上周弱势,深股通,融资融券标的,0.04
147,2018-07-04 09:31:00,600568,中珠医疗,上周弱势,深股通,融资融券标的,0.04
148,2018-07-04 09:32:00,000510,金路集团,锂电池,昨日连板,上证380,0.03
149,2018-07-04 09:32:00,300444,双杰电气,锂电池,昨日连板,上证380,0.05
150,2018-07-04 09:32:00,603877,太平鸟,锂电池,昨日连板,上证380,0.04
151,2018-07-04 09:33:00,600476,湘邮科技,高市净率,湖南,中证央企,0.04
152,2018-07-04 09:34:00,002674,兴业科技,高股息股,近期新低,纺织制造,0.07
153,2018-07-04 09:37:00,603177,德创环保,脱硫脱硝,空气治理,环保工程,0.04
154,2018-07-04 09:38:00,600806,退市昆机,高端装备,工业4.0,制造业,0.04
155,2018-07-04 09:39:00,002346,柘中股份,锂电池,电气设备,整体上市,0.05
156,2018-07-04 09:40:00,300732,设研院,新股与次新股,次新股,高市净率,0.08
157,2018-07-04 09:40:00,300745,欣锐科技,新股与次新股,次新股,高市净率,0.03
158,2018-07-04 09:42:00,002928,华夏航空,贵州,白马股,深次新股,0.04
159,2018-07-04 09:45:00,002256,兆新股份,高质押股,无人驾驶,充电桩,0.04
160,2018-07-04 09:47:00,002256,兆新股份,高质押股,无人驾驶,充电桩,0.03
161,2018-07-04 09:48:00,603970,中农立华,近期异动,活跃股,次新股,0.05
162,2018-07-04 09:49:00,000795,英洛华,制造业,山东,黄河三角,0.03
163,2018-07-04 09:49:00,002374,丽鹏股份,制造业,山东,黄河三角,0.04
164,2018-07-04 09:49:00,603223,恒通股份,制造业,山东,黄河三角,0.03
165,2018-07-04 09:50:00,000713,丰乐种业,制造业,安徽,微利股,0.03
166,2018-07-04 09:50:00,000795,英洛华,制造业,安徽,微利股,0.07
167,2018-07-04 09:50:00,002374,丽鹏股份,制造业,安徽,微利股,0.04
168,2018-07-04 09:51:00,603363,傲农生物,高市净率,股权激励,福建,0.03
169,2018-07-04 09:54:00,000752,西藏发展,饮料制造,西藏,被举牌,0.03
170,2018-07-04 09:56:00,002297,博云新材,高校背景,高校,长株潭,0.04
171,2018-07-04 09:57:00,002858,力盛赛车,预计扭亏,高质押股,北京,0.03
172,2018-07-04 09:57:00,300312,邦讯技术,预计扭亏,高质押股,北京,0.03
173,2018-07-04 10:00:00,600476,湘邮科技,高市净率,湖南,中证央企,0.03
174,2018-07-04 10:06:00,603045,福达合金,高市盈率,高市净率,电气设备,0.05
175,2018-07-04 10:10:00,002231,奥维通信,高质押股,预计扭亏,通信设备,0.07
176,2018-07-04 10:12:00,002467,二六三,通信服务,融资融券标的,融资融券,0.07
177,2018-07-04 10:13:00,300025,华星创业,通信设备,电子信息,浙江,0.04
178,2018-07-04 10:19:00,600319,亚星化学,黄河三角,高市净率,近期新低,0.04
179,2018-07-04 10:22:00,000777,中核科技,融资融券,核电,核电核能,0.08
180,2018-07-04 10:22:00,002130,沃尔核材,融资融券,核电,核电核能,0.03
181,2018-07-04 10:23:00,002438,江苏神通,核电核能,核电,黑龙江,0.07
182,2018-07-04 10:23:00,300489,中飞股份,核电核能,核电,黑龙江,0.04
183,2018-07-04 10:26:00,300265,通光线缆,高质押股,证金持股,电气设备,0.03
184,2018-07-04 10:40:00,002606,大连电瓷,送转超跌,近期异动,辽宁,0.04
185,2018-07-04 10:44:00,002114,罗平锌电,制造业,高铁,央企国资改革,0.04
186,2018-07-04 10:44:00,600495,晋西车轴,制造业,高铁,央企国资改革,0.04
187,2018-07-04 10:51:00,002606,大连电瓷,送转超跌,近期异动,辽宁,0.04
188,2018-07-04 11:10:00,000971,高升控股,重组股,通信设备,湖北,0.04
189,2018-07-04 11:15:00,002356,赫美集团,高送转,微利股,互联网+,0.03
190,2018-07-04 13:05:00,002356,赫美集团,高送转,微利股,互联网+,0.03
191,2018-07-04 13:06:00,300392,腾信股份,高市盈率,连续亏损,股权转让,0.04
192,2018-07-04 13:12:00,002891,中宠股份,电子商务,深次新股,次新股,0.03
193,2018-07-04 13:13:00,000558,莱茵体育,高质押股,杭州亚运会,体育产业,0.03
194,2018-07-04 13:22:00,300135,宝利国际,制造业,微利股,高市盈率,0.03
195,2018-07-04 13:22:00,300147,香雪制药,制造业,微利股,高市盈率,0.04
196,2018-07-04 13:25:00,600679,上海凤凰,高市盈率,非汽车交运,金融改革,0.03
197,2018-07-04 13:26:00,600679,上海凤凰,制造业,上海国资改革,上海自贸,0.06
198,2018-07-04 13:26:00,600689,上海三毛,制造业,上海国资改革,上海自贸,0.05
199,2018-07-04 13:27:00,600689,上海三毛,纺织制造,浦东,微利股,0.05
200,2018-07-04 13:35:00,002198,嘉应制药,重组预案,广东其它,制造业,0.04
201,2018-07-04 13:36:00,002125,湘潭电化,长株潭,锂电池,送转超跌,0.03
202,2018-07-04 13:50:00,000019,深深宝Ａ,饮料制造,重组股,深圳国资改革,0.03
203,2018-07-04 13:51:00,000011,深物业A,深圳国资改革,深圳,粤港澳概念,0.03
204,2018-07-04 13:51:00,000014,沙河股份,深圳国资改革,深圳,粤港澳概念,0.03
205,2018-07-04 13:51:00,000019,深深宝Ａ,深圳国资改革,深圳,粤港澳概念,0.04
206,2018-07-04 13:51:00,000023,深天地Ａ,深圳国资改革,深圳,粤港澳概念,0.03
207,2018-07-04 13:51:00,000045,深纺织Ａ,深圳国资改革,深圳,粤港澳概念,0.03
